,elbow
1,265608.49999999424
2,207565.5190532115
3,184370.46474582967
4,145700.18771411787
5,129842.70641059609
6,120724.62895334933
7,112130.28050715465
8,104678.99002265814
9,97527.12900125427
10,94721.42053967876
