,elbow,silh,dbi,ch
1,338964991.88798654,,,
2,169482598.80748552,0.626714134113043,0.5000002407020154,110459.97848620397
3,112988518.87140267,0.5901651775282466,0.5000005245603877,147275.9049090589
4,84741483.05886653,0.5718858048891744,0.5000008799378511,184089.82009602786
5,67793318.35939471,0.5609125706509339,0.5000013596166388,220901.36555123643
6,56494624.62955112,0.5535912246403241,0.5000019360260376,257710.02497321303
7,48424289.90953142,0.5483581389699288,0.5000025882385957,294513.63079799403
8,42371573.52891985,0.544438639471387,0.5000032868146624,331313.44573200616
9,37664012.863998055,0.5413707884736133,0.5000041458389328,368107.33297898615
10,33898050.22825183,0.538898427656464,0.5000050270393498,404894.61348771333
