,elbow,silh,dbi,ch
1,206712.0140849402,,,
2,204560.01241438105,0.2025772461322003,1.9244174386030835,1149.4196505851012
3,201065.14749279237,0.06076065006478717,2.824679196884252,1246.863439680724
4,200180.72853851411,0.03871258116912573,4.5837907289028585,1070.2480635243483
5,195686.15002282514,0.04121041309363945,3.5717160260551433,975.5304162948551
6,192989.30540548055,0.049587486919638886,3.4222776135271027,956.5862351494998
7,190189.48848561494,0.04911022525751938,3.438431071919896,919.3154902280933
8,188295.94375084725,0.0620117783769907,3.225063294809348,978.5549076421632
9,186648.18365040314,0.06531130782728876,3.105470628917263,952.1187163772809
10,184512.8515972633,0.07365427155045616,2.9598381975968584,1011.4212269724152
