,silh,dbi,ch
1,,,
2,0.6209532611641191,0.5000002455552089,106490.80158658104
3,0.5669290551786079,0.5000006365456849,117655.37703537408
4,0.5608751895815075,0.5000009235060776,173376.59057075664
5,0.5391932559182671,0.5000017554716225,195918.12166765163
6,0.5294299329783475,0.5000024612697093,206574.87258744764
7,0.5171531168194474,0.5000032531582426,238318.66905461185
8,0.5163069815500777,0.5000037148787165,288258.6421227609
9,0.5117053577943859,0.5000048528644712,324831.806436562
10,0.514516223938241,0.5000063644602649,344965.6137391237
