,elbow,silh,dbi,ch
1,4160455593840.9653,,,
2,1040114915711.0973,0.6267140472826526,0.5000002403346175,110459.91982883385
3,462278307103.785,0.5901656108864411,0.5000005143738082,147274.57636915706
4,260039897534.63544,0.5718834520902412,0.5000008884792785,184082.54899205116
5,166428543171.06387,0.5609337082208112,0.5000013713349879,220889.46152324852
6,115585320325.4808,0.5536208494657424,0.5000019245475894,257675.81024536287
7,84912209377.56255,0.5482557364787696,0.5000025908726127,294505.4820852089
8,65033605385.04716,0.5445050759476837,0.5000032651776893,331195.9131938171
9,51370791515.98186,0.5415225799421262,0.5000041880893842,368083.78982051654
10,41627257133.78833,0.5387540246768108,0.5000049940908586,404719.55021754844
