,elbow
1,175604.99999998749
2,148039.49299426613
3,130894.57014460312
4,99257.46241354213
5,90885.1610352153
6,82649.83555084036
7,76168.43868135453
8,73260.34790948046
9,70452.00500041578
10,68853.52914619776
