,elbow,silh,dbi,ch
1,1067838.000000001,,,
2,1032757.7549794562,0.08806199838733735,4.140081391633934,1250.6849892229545
3,997883.3175165774,0.06384118159286725,3.8984631744508884,1290.5624380850718
4,958609.5726390876,0.06842779424457707,3.7243192075295655,1398.4046454221987
5,923021.2632903785,0.07485471714104376,3.284427841112148,1444.0939790573348
6,887988.0929144877,0.1113819396566348,2.741863906855427,1491.3159831970556
7,863896.036639313,0.09465510061682127,2.732174164413273,1448.5034721691572
8,834295.0108710709,0.09678019662621522,2.6654372579235965,1472.1844078006536
9,805282.3757793762,0.1197539698195688,2.49839403696423,1500.321577427944
10,791106.5098503724,0.11384333952291574,2.6143714792142343,1430.7724386412438
