,elbow
1,9785.876262731537
2,8022.094955343314
3,7362.5446871517215
4,6933.013169304432
5,6608.998518057785
6,6324.380519552937
7,6131.049909248656
8,5979.547769993904
9,5892.248578874893
10,5804.144118248156
